Host,Parasite,paraType
Hirundo rustica,Vitta rustica,helminth
Hirundo rustica,Zonorchis clathratum,helminth
Jynx torquilla,Raillietina Paroniella,helminth
Pernis apivorus,Echinoparyphium agnatum,helminth
Pernis apivorus,Echinostoma goldi,helminth
Pernis apivorus,Physaloptera alata,helminth
Pernis apivorus,Physaloptera apivori,helminth
Pernis apivorus,Porrocaecum angusticolle,helminth
Pernis apivorus,Strigea falconis,helminth
Pernis apivorus,Strigea strigis,helminth
Pernis apivorus,Strigea vandenbrokae,helminth
Pernis apivorus,Synhimantus robertdollfusi,helminth
Pernis apivorus,Tetrameres sobolevi,helminth
Pernis apivorus,Echinoparyphium agnatum,helminth
Pernis apivorus,Echinostoma goldi,helminth
Pernis apivorus,Physaloptera alata,helminth
Pernis apivorus,Physaloptera apivori,helminth
Pernis apivorus,Porrocaecum angusticolle,helminth
Pernis apivorus,Strigea falconis,helminth
Pernis apivorus,Strigea strigis,helminth
Pernis apivorus,Strigea vandenbrokae,helminth
Pernis apivorus,Synhimantus robertdollfusi,helminth
Pernis apivorus,Tetrameres sobolevi,helminth
Phalacrocorax auritus,Amphimerus elongatus,helminth
Phalacrocorax auritus,Andracantha gravida,helminth
Phalacrocorax auritus floridanus,Andracantha gravida,helminth
Phalacrocorax auritus,Austrobilharzia variglandis,helminth
Phalacrocorax auritus,Austrodiplostomum mordax,helminth
Phalacrocorax auritus,Capillaria carbonis,helminth
Phalacrocorax auritus,Capillaria contorta,helminth
Phalacrocorax auritus,Capillaria spiculatus,helminth
Phalacrocorax auritus,Clinostomum attenuatum,helminth
Phalacrocorax auritus,Clinostomum marginatum,helminth
Phalacrocorax auritus,Contracaecum multipapillatum,helminth
Phalacrocorax auritus,Contracaecum rudolphii,helminth
Phalacrocorax auritus,Contracaecum spiculigerum,helminth
Phalacrocorax auritus,Cyclustera ibisae,helminth
Phalacrocorax auritus,Desmidocercella incognita,helminth
Phalacrocorax auritus,Desmidocercella skrjabini,helminth
Phalacrocorax auritus,Drepanocephalus spathans,helminth
Phalacrocorax auritus,Hysteromorpha triloba,helminth
Phalacrocorax auritus,Mesoophorodiplostomum pricei,helminth
Phalacrocorax auritus,Mesostephanus appendiculatoides,helminth
Phalacrocorax auritus,Mesostephanus cubaensis,helminth
Phalacrocorax auritus,Paradilepis caballeroi,helminth
Phalacrocorax auritus,Parorchis acanthus,helminth
Phalacrocorax auritus,Phagicola diminuta,helminth
Phalacrocorax auritus,Phagicola longa,helminth
Phalacrocorax auritus,Phocitremoides butionis,helminth
Phalacrocorax auritus,Polymorphus obtusus,helminth
Phalacrocorax auritus,Renicola thapari,helminth
Phalacrocorax auritus,Skrjabinocara squamata,helminth
Phalacrocorax auritus,Southwellina hispida,helminth
Phalacrocorax auritus,Syncuaria squamata,helminth
Phalacrocorax auritus,Syngamus trachea,helminth
Phalacrocorax auritus,Tetrameres microspinosa,helminth
Phalacrocorax auritus,Amphimerus elongatus,helminth
Phalacrocorax auritus,Andracantha gravida,helminth
Phalacrocorax auritus floridanus,Andracantha gravida,helminth
Phalacrocorax auritus,Austrobilharzia variglandis,helminth
Phalacrocorax auritus,Austrodiplostomum mordax,helminth
Phalacrocorax auritus,Capillaria carbonis,helminth
Phalacrocorax auritus,Capillaria contorta,helminth
Phalacrocorax auritus,Capillaria spiculatus,helminth
Phalacrocorax auritus,Clinostomum attenuatum,helminth
Phalacrocorax auritus,Clinostomum marginatum,helminth
Phalacrocorax auritus,Contracaecum multipapillatum,helminth
Phalacrocorax auritus,Contracaecum rudolphii,helminth
Phalacrocorax auritus,Contracaecum spiculigerum,helminth
Phalacrocorax auritus,Cyclustera ibisae,helminth
Phalacrocorax auritus,Desmidocercella incognita,helminth
Phalacrocorax auritus,Desmidocercella skrjabini,helminth
Phalacrocorax auritus,Drepanocephalus spathans,helminth
Phalacrocorax auritus,Hysteromorpha triloba,helminth
Phalacrocorax auritus,Mesoophorodiplostomum pricei,helminth
Phalacrocorax auritus,Mesostephanus appendiculatoides,helminth
Phalacrocorax auritus,Mesostephanus cubaensis,helminth
Phalacrocorax auritus,Paradilepis caballeroi,helminth
Phalacrocorax auritus,Parorchis acanthus,helminth
Phalacrocorax auritus,Phagicola diminuta,helminth
Phalacrocorax auritus,Phagicola longa,helminth
Phalacrocorax auritus,Phocitremoides butionis,helminth
Phalacrocorax auritus,Polymorphus obtusus,helminth
Phalacrocorax auritus,Renicola thapari,helminth
Phalacrocorax auritus,Skrjabinocara squamata,helminth
Phalacrocorax auritus,Southwellina hispida,helminth
Phalacrocorax auritus,Syncuaria squamata,helminth
Phalacrocorax auritus,Syngamus trachea,helminth
Phalacrocorax auritus,Tetrameres microspinosa,helminth
Tympanuchus cupido,Acuaria spinosa,helminth
Tympanuchus cupido,Ascaridia lineata,helminth
Tympanuchus cupido,Cyrnea colini,helminth
Tympanuchus cupido attwateri,Dispharynx nasuta,helminth
Tympanuchus cupido,Oxyspirura petrowi,helminth
Tympanuchus cupido attwateri,Trichostrongylus cramae,helminth
Alces alces,Trichostrongylid ova,helminth
Alces alces,Aonchotheca bovis,helminth
Alces alces,Ashworthius sidemi,helminth
Alces alces,Bunostomum phlebotomum,helminth
Alces alces,Bunostomum trigonocephalum,helminth
Alces alces,Calicophoron calicophorum,helminth
Alces alces,Capillaria bovis,helminth
Alces alces,Cysticercus tarandi,helminth
Alces alces,Cysticercus tenuicollis,helminth
Alces alces,Dicrocoelium dendriticum,helminth
Alces alces,Dictyocaulus capreolus,helminth
Alces alces,Dictyocaulus eckerti,helminth
Alces alces,Dictyocaulus filaria,helminth
Alces alces,Dictyocaulus hadweni,helminth
Alces alces,Dictyocaulus viviparus,helminth
Alces alces andersoni,Dictyocaulus viviparus,helminth
Alces alces,Echinococcus granulosus,helminth
Alces alces andersoni,Echinococcus granulosus,helminth
Alces alces,Elaeophora abramovi,helminth
Alces alces,Elaeophora schneideri,helminth
Alces alces,Elaphostrongylus alces,helminth
Alces alces,Elaphostrongylus alcis,helminth
Alces alces,Elaphostrongylus cervi,helminth
Alces alces,Elaphostrongylus rangiferi,helminth
Alces alces,Fasciola hepatica,helminth
Alces alces,Fascioloides magna,helminth
Alces alces americana,Fascioloides magna,helminth
Alces alces,Fischoederius elongatus,helminth
Alces alces,Fischoederius skrjabini,helminth
Alces alces,Haemonchus contortus,helminth
Alces alces,Haemonchus similis,helminth
Alces alces,Liorchis scotiae,helminth
Alces alces,Mazamastrongylus dagestanica,helminth
Alces alces,Moniezia autumnalis,helminth
Alces alces,Moniezia benedeni,helminth
Alces alces,Moniezia expansa,helminth
Alces alces,Muellerius capillaris,helminth
Alces alces,Nematodirella alcidis,helminth
Alces alces,Nematodirella gazelli,helminth
Alces alces,Nematodirella longispiculata,helminth
Alces alces,Nematodirella longispiculata,helminth
Alces alces andersoni,Nematodirella longispiculata,helminth
Alces alces,Nematodirella longissimespiculata,helminth
Alces alces,Nematodirus helvetianus,helminth
Alces alces,Nematodirus mauritanicus,helminth
Alces alces,Nematodirus odocoilei,helminth
Alces alces,Nematodirus spathiger,helminth
Alces alces,Nematodirus tarandi,helminth
Alces alces,Oesophagostomum asperum,helminth
Alces alces,Oesophagostomum venulosum,helminth
Alces alces,Onchocerca cervipedis,helminth
Alces alces andersoni,Onchocerca cervipedis,helminth
Alces alces,Orloffia orloffi,helminth
Alces alces,Orthostrongylus macrotis,helminth
Alces alces,Ostertagia antipini,helminth
Alces alces,Ostertagia kolchida,helminth
Alces alces,Ostertagia leptospicularis,helminth
Alces alces,Ostertagia lyrataeformis,helminth
Alces alces,Ostertagia ostertagi,helminth
Alces alces,Parafasciolopsis fasciolaemorpha,helminth
Alces alces,Paramphistomum cervi,helminth
Alces alces americana,Paramphistomum cervi,helminth
Alces alces,Paramphistomum ichikawai,helminth
Alces alces,Paramphistomum leydeni,helminth
Alces alces,Paramphistomum liorchis,helminth
Alces alces andersoni,Parelaphostrongylus odocoilei,helminth
Alces alces,Parelaphostrongylus tenuis,helminth
Alces alces,Physocephalus sexalatus,helminth
Alces alces,Protostrongylus macrotis,helminth
Alces alces,Rumenfilaria andersoni,helminth
Alces alces,Setaria capreoli,helminth
Alces alces,Setaria cervi,helminth
Alces alces,Setaria labiatopapillosa,helminth
Alces alces,Setaria transcaucasica,helminth
Alces alces,Setaria yehi,helminth
Alces alces,Skrjabinagia lyrataeformis,helminth
Alces alces,Spiculopteragia alcis,helminth
Alces alces,Spiculopteragia asymmetrica,helminth
Alces alces,Spiculopteragia boehmi,helminth
Alces alces,Spiculopteragia dagestanica,helminth
Alces alces,Spiculopteragia mathevossiani,helminth
Alces alces,Spiculopteragia spiculoptera,helminth
Alces alces,Taenia cervi,helminth
Alces alces,Taenia hydatigena,helminth
Alces alces andersoni,Taenia hydatigena,helminth
Alces alces,Taenia krabbei,helminth
Alces alces andersoni,Taenia krabbei,helminth
Alces alces,Taenia ovis,helminth
Alces alces,Taenia ovis,helminth
Alces alces,Teladorsagia circumcincta,helminth
Alces alces,Thelazia rhodesi,helminth
Alces alces,Thysanosoma actinioides,helminth
Alces alces andersoni,Thysanosoma actinioides,helminth
Alces alces,Trichocephalus capreoli,helminth
Alces alces,Trichocephalus gazellae,helminth
Alces alces,Trichocephalus ovis,helminth
Alces alces,Trichocephalus skrjabini,helminth
Alces alces,Trichostrongylus axei,helminth
Alces alces,Trichostrongylus capricola,helminth
Alces alces,Trichostrongylus colubriformis,helminth
Alces alces,Trichostrongylus longispicularis,helminth
Alces alces,Trichostrongylus vitrinus,helminth
Alces alces,Trichuris discolor,helminth
Alces alces,Trichuris ovis,helminth
Alces alces,Varestrongylus alces,helminth
Alces alces,Varestrongylus capreoli,helminth
Alces alces,Zygocotyle lunata,helminth
Arctocephalus australis,Contracaecum ogmorhini,helminth
Arctocephalus australis,Corynosoma australe,helminth
Arctocephalus australis,Corynosoma cetaceum,helminth
Arctocephalus australis,Dioctophyme renale,helminth
Mustela erminea cicognanii,Alaria mustelae,helminth
Mustela erminea cicognanii,Euparyphium melis,helminth
Mustela erminea hibernica,Skrjabingylus nasicola,helminth
Mustela erminea cicognanii,Alaria mustelae,helminth
Mustela erminea cicognanii,Euparyphium melis,helminth
Mustela erminea hibernica,Skrjabingylus nasicola,helminth
Pernis apivorus,Echinoparyphium agnatum,helminth
Pernis apivorus,Echinostoma goldi,helminth
Pernis apivorus,Physaloptera alata,helminth
Pernis apivorus,Physaloptera apivori,helminth
Pernis apivorus,Porrocaecum angusticolle,helminth
Pernis apivorus,Strigea falconis,helminth
Pernis apivorus,Strigea strigis,helminth
Pernis apivorus,Strigea vandenbrokae,helminth
Pernis apivorus,Synhimantus robertdollfusi,helminth
Pernis apivorus,Tetrameres sobolevi,helminth
Pernis apivorus,Echinoparyphium agnatum,helminth
Pernis apivorus,Echinostoma goldi,helminth
Pernis apivorus,Physaloptera alata,helminth
Pernis apivorus,Physaloptera apivori,helminth
Pernis apivorus,Porrocaecum angusticolle,helminth
Pernis apivorus,Strigea falconis,helminth
Pernis apivorus,Strigea strigis,helminth
Pernis apivorus,Strigea vandenbrokae,helminth
Pernis apivorus,Synhimantus robertdollfusi,helminth
Pernis apivorus,Tetrameres sobolevi,helminth
Phacochoerus aethiopicus,Ascaris phacochoeri,helminth
Phacochoerus aethiopicus sundevalli,Ascaris phacochoeri,helminth
Phacochoerus aethiopicus,Choerocotyle epuluensis,helminth
Phacochoerus aethiopicus,Cooperia hungi,helminth
Phacochoerus aethiopicus,Daubneyia oldi,helminth
Phacochoerus aethiopicus,Echinococcus granulosus,helminth
Phacochoerus aethiopicus,Gastrodiscus aegyptiacus,helminth
Phacochoerus aethiopicus sundevalli,Gastrodiscus aegyptiacus,helminth
Phacochoerus aethiopicus,Impalaia tuberculata,helminth
Phacochoerus aethiopicus sundevalli,Moniezia mettami,helminth
Phacochoerus aethiopicus,Murshidia hamata,helminth
Phacochoerus aethiopicus,Murshidia pugnicaudata,helminth
Phacochoerus aethiopicus sundevalli,Oesophagostomum eurycephalum,helminth
Phacochoerus aethiopicus,Oesophagostomum mocambiquei,helminth
Phacochoerus aethiopicus sundevalli,Oesophagostomum mpwapwae,helminth
Phacochoerus aethiopicus,Oesophagostomum mwanzae,helminth
Phacochoerus aethiopicus sundevalli,Oesophagostomum simpsoni,helminth
Phacochoerus aethiopicus sundevalli,Oesophagostomum yorkei,helminth
Phacochoerus aethiopicus,Onchocerca ramachandrini,helminth
Phacochoerus aethiopicus,Phacocoerostrongylus hylochoeri,helminth
Phacochoerus aethiopicus,Physocephalus sexalatus,helminth
Phacochoerus aethiopicus sundevalli,Physocephalus sexalatus,helminth
Phacochoerus aethiopicus,Probstmayria vivipara,helminth
Phacochoerus aethiopicus,Setaria congolensis,helminth
Phacochoerus aethiopicus,Taenia acinonyxi,helminth
Phacochoerus aethiopicus,Taenia crocutae,helminth
Phacochoerus aethiopicus,Taenia hyaenae,helminth
Phacochoerus aethiopicus,Taenia regis,helminth
Phacochoerus aethiopicus,Trichinella nelsoni,helminth
Phacochoerus aethiopicus,Trichinella spiralis,helminth
Phacochoerus aethiopicus,Trichostrongylus deflexus,helminth
Phacochoerus aethiopicus,Trichostrongylus falculatus,helminth
Phacochoerus aethiopicus,Trichostrongylus hypsokysta,helminth
Phacochoerus aethiopicus,Trichostrongylus instabilis,helminth
Phacochoerus aethiopicus,Trichostrongylus thomasi,helminth
Physeter macrocephalus,Tetraphyllidean larvae,helminth
Physeter macrocephalus,Anisakis catodontis,helminth
Physeter macrocephalus,Anisakis dussumierii,helminth
Physeter macrocephalus,Anisakis ivanizkii,helminth
Physeter macrocephalus,Anisakis pacificus,helminth
Physeter macrocephalus,Anisakis pegreffii,helminth
Physeter macrocephalus,Anisakis physeteris,helminth
Physeter macrocephalus,Anisakis simplex,helminth
Physeter macrocephalus,Anisakis skrjabini,helminth
Physeter macrocephalus,Bolbosoma brevicolle,helminth
Physeter macrocephalus,Bolbosoma capitatum,helminth
Physeter macrocephalus,Bolbosoma physeteris,helminth
Physeter macrocephalus,Bolbosoma turbinella,helminth
Physeter macrocephalus,Corynosoma curilensis,helminth
Physeter macrocephalus,Corynosoma mirabilis,helminth
Physeter macrocephalus,Corynosoma strumosum,helminth
Physeter macrocephalus,Crassicauda anthonyi,helminth
Physeter macrocephalus,Hexagonoporous physeteris,helminth
Physeter macrocephalus,Monorygma delphini,helminth
Physeter macrocephalus,Phyllobothrium delphini,helminth
Physeter macrocephalus,Placentonema gigantissima,helminth
Physeter macrocephalus,Polygonoporus giganticus,helminth
Physeter macrocephalus,Priapocephalus grandis,helminth
Physeter macrocephalus,Stenurus ovatus,helminth
Physeter macrocephalus,Tetrabothrius affinis,helminth
Physeter macrocephalus,Tetrabothrius curilensis,helminth
Physeter macrocephalus,Tetragonoporus calyptocephalus,helminth
Physeter macrocephalus,Tetragonoporus physeteris,helminth
Physeter macrocephalus,Zalophotrema curilensis,helminth
Kinosternon flavescens,Telorchis corti,helminth
Kinosternon integrum,Cheloniotrema tropicum,helminth
Kinosternon integrum,Polystomoidella oblonga,helminth
Kinosternon integrum,Polystomoidella whartoni,helminth
Kinosternon integrum,Spiroxys corti,helminth
Kinosternon integrum,Spiroxys triretrodens,helminth
Kinosternon integrum,Telorchis corti,helminth
Kinosternon integrum,Telorchis dissentaneus,helminth
Kinosternon integrum,Telorchis reelfooti,helminth
Kinosternon integrum,Tylodelphys dissentaneus,helminth
Kinosternon integrum,Cheloniotrema tropicum,helminth
Kinosternon integrum,Polystomoidella oblonga,helminth
Kinosternon integrum,Polystomoidella whartoni,helminth
Kinosternon integrum,Spiroxys corti,helminth
Kinosternon integrum,Spiroxys triretrodens,helminth
Kinosternon integrum,Telorchis corti,helminth
Kinosternon integrum,Telorchis dissentaneus,helminth
Kinosternon integrum,Telorchis reelfooti,helminth
Kinosternon integrum,Tylodelphys dissentaneus,helminth
Ammocrypta pellucida,Plagioporus cooperi,helminth
Genypterus blacodes,Anisakis simplex,helminth
Genypterus blacodes,Anonchocephalus chilensis,helminth
Genypterus blacodes,Aporocotyle ymakara,helminth
Genypterus blacodes,Cucullanus genypteri,helminth
Genypterus blacodes,Derogenes varicus,helminth
Genypterus blacodes,Hepatoxylon trichiuri,helminth
Genypterus blacodes,Hysterothylacium aduncum,helminth
Genypterus blacodes,Lecithochirium genypteri,helminth
Genypterus blacodes,Pseudoterranova decipiens,helminth
Genypterus blacodes,Scolex polymorphus,helminth
Genypterus blacodes,Tricotyledonia genypteri,helminth
Genypterus blacodes,Anisakis simplex,helminth
Genypterus blacodes,Anonchocephalus chilensis,helminth
Genypterus blacodes,Aporocotyle ymakara,helminth
Genypterus blacodes,Cucullanus genypteri,helminth
Genypterus blacodes,Derogenes varicus,helminth
Genypterus blacodes,Hepatoxylon trichiuri,helminth
Genypterus blacodes,Hysterothylacium aduncum,helminth
Genypterus blacodes,Lecithochirium genypteri,helminth
Genypterus blacodes,Pseudoterranova decipiens,helminth
Genypterus blacodes,Scolex polymorphus,helminth
Genypterus blacodes,Tricotyledonia genypteri,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
Oncorhynchus tshawytscha,Lecithocladium seriolellae,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus rutili,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus saginatus,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus tumidus,helminth
Oncorhynchus tshawytscha,Nybelinia surmenicola,helminth
Oncorhynchus tshawytscha,Octomacrum lanceatum,helminth
Oncorhynchus tshawytscha,Philonema oncorhynchi,helminth
Oncorhynchus tshawytscha,Proteocephalus parallacticus,helminth
Oncorhynchus tshawytscha,Pseudocapillaria Ichthyocapillaria,helminth
Oncorhynchus tshawytscha,Tentacularia coryphaenae,helminth
Oncorhynchus tshawytscha,Tubulovesicula angusticauda,helminth
Oncorhynchus tshawytscha,Tubulovesicula lindbergi,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
Oncorhynchus tshawytscha,Lecithocladium seriolellae,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus rutili,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus saginatus,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus tumidus,helminth
Oncorhynchus tshawytscha,Nybelinia surmenicola,helminth
Oncorhynchus tshawytscha,Octomacrum lanceatum,helminth
Oncorhynchus tshawytscha,Philonema oncorhynchi,helminth
Oncorhynchus tshawytscha,Proteocephalus parallacticus,helminth
Oncorhynchus tshawytscha,Pseudocapillaria Ichthyocapillaria,helminth
Oncorhynchus tshawytscha,Tentacularia coryphaenae,helminth
Oncorhynchus tshawytscha,Tubulovesicula angusticauda,helminth
Oncorhynchus tshawytscha,Tubulovesicula lindbergi,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
Oncorhynchus tshawytscha,Lecithocladium seriolellae,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus rutili,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus saginatus,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus tumidus,helminth
Oncorhynchus tshawytscha,Nybelinia surmenicola,helminth
Oncorhynchus tshawytscha,Octomacrum lanceatum,helminth
Oncorhynchus tshawytscha,Philonema oncorhynchi,helminth
Oncorhynchus tshawytscha,Proteocephalus parallacticus,helminth
Oncorhynchus tshawytscha,Pseudocapillaria Ichthyocapillaria,helminth
Oncorhynchus tshawytscha,Tentacularia coryphaenae,helminth
Oncorhynchus tshawytscha,Tubulovesicula angusticauda,helminth
Oncorhynchus tshawytscha,Tubulovesicula lindbergi,helminth
Ammodramus savannarum,Mediorhynchus papillosus,helminth
Ammodramus savannarum,Mediorhynchus papillosus,helminth
Anser anser,Amidostomum anseris,helminth
Anser anser domesticus,Amidostomum anseris,helminth
Anser anser,Amidostomum spatulatum,helminth
Anser anser domesticus,Amidostomum spatulatum,helminth
Anser anser domesticus,Aonchotheca Avesaonchotheca,helminth
Anser anser domesticus,Aonchotheca Avesaonchotheca,helminth
Anser anser,Apatemon gracilis,helminth
Anser anser domesticus,Apatemon gracilis,helminth
Anser anser,Ascaridia galli,helminth
Anser anser,Baruscapillaria anseris,helminth
Anser anser,Baruscapillaria obsignata,helminth
Anser anser domesticus,Baruscapillaria obsignata,helminth
Anser anser,Baruscapillaria podicipitis,helminth
Anser anser,Bilharziella polonica,helminth
Anser anser domesticus,Bilharziella polonica,helminth
Anser anser,Capillaria anatis,helminth
Anser anser domesticus,Capillaria anatis,helminth
Anser anser,Capillaria obsignata,helminth
Anser anser,Catatropis verrucosa,helminth
Anser anser domesticus,Catatropis verrucosa,helminth
Anser anser,Cloacotaenia megalops,helminth
Anser anser,Cotylurus cornutus,helminth
Anser anser domesticus,Cotylurus cornutus,helminth
Anser anser,Dicranotaenia coronula,helminth
Anser anser,Dicranotaenia coronula,helminth
Anser anser domesticus,Dicranotaenia coronula,helminth
Anser anser domesticus,Diorchis elisae,helminth
Anser anser,Diorchis parvogenitalis,helminth
Anser anser,Diorchis stefanskii,helminth
Anser anser domesticus,Diorchis stefanskii,helminth
Anser anser,Drepanidotaenia lanceolata,helminth
Anser anser domesticus,Drepanidotaenia lanceolata,helminth
Anser anser,Echinoparyphium clerci,helminth
Anser anser domesticus,Echinoparyphium petrowi,helminth
Anser anser,Echinoparyphium recurvatum,helminth
Anser anser,Echinostoma dietzi,helminth
Anser anser domesticus,Echinostoma dietzi,helminth
Anser anser,Echinostoma revolutum,helminth
Anser anser domesticus,Echinostoma revolutum,helminth
Anser anser domesticus,Epomidiostomum anatinum,helminth
Anser anser,Epomidiostomum crami,helminth
Anser anser,Epomidiostomum orispinum,helminth
Anser anser domesticus,Epomidiostomum orispinum,helminth
Anser anser,Epomidiostomum uncinatum,helminth
Anser anser domesticus,Eucoleus contortus,helminth
Anser anser,Filicollis anatis,helminth
Anser anser,Fimbriaria fasciolaris,helminth
Anser anser,Gastrotaenia dogieli,helminth
Anser anser,Hamatolepis teresoides,helminth
Anser anser,Heterakis dispar,helminth
Anser anser,Heterakis gallinarum,helminth
Anser anser,Hymenolepis anseris,helminth
Anser anser,Hymenolepis bilateralis,helminth
Anser anser,Hymenolepis fasciculata,helminth
Anser anser,Hymenolepis furcigera,helminth
Anser anser,Hymenolepis gracilis,helminth
Anser anser,Hymenolepis paracompressa,helminth
Anser anser,Hymenolepis paramicrosoma,helminth
Anser anser,Hymenolepis przewalskii,helminth
Anser anser,Hymenolepis setigera,helminth
Anser anser,Hypoderaeum conoideum,helminth
Anser anser domesticus,Hypoderaeum conoideum,helminth
Anser anser domesticus,Hyptiasmus arcuatus,helminth
Anser anser,Hystrichis tricolor,helminth
Anser anser domesticus,Microrchis intermedius,helminth
Anser anser,Microsomacanthus microsoma,helminth
Anser anser,Microsomacanthus passeris,helminth
Anser anser,Monosaccanthes kazachstanica,helminth
Anser anser,Notocotylus attenuatus,helminth
Anser anser domesticus,Notocotylus attenuatus,helminth
Anser anser,Notocotylus chionis,helminth
Anser anser domesticus,Notocotylus chionis,helminth
Anser anser,Opisthorchis germinus,helminth
Anser anser domesticus,Opisthorchis simulans,helminth
Anser anser domesticus,Opisthorchis skrjabini,helminth
Anser anser,Parabisaccanthes philactes,helminth
Anser anser,Paramonostomum zahoorensis,helminth
Anser anser,Paryphostomum novum,helminth
